Feature,SHAP_Score,SHAP_Rank
BS,0.1837784199261291,1
SystolicBP,0.08326664406741566,2
BodyTemp,0.058425625455381824,3
DiastolicBP,0.04146345198663956,4
Age,0.02449789913358639,5
HeartRate,0.023946887692489028,6
